workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
PartitionedE2E,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+2.038432248e9,5.351400498,5.354043771,5.349961559,5.348848144,5.354187051,5.351054212,5.347927131,5.350047598,5.348858782,+3.2e-7,+2.716685209e0,+2.58613163e0,+4.7092198e-2
CuckooMap,1,100000000,100000000,100000000,false,I64,Sum,0,0,+3.700007224e9,51.900270734,51.876289636,51.875532823,51.877221085,51.874341313,51.890750085,51.893442438,51.862797588,51.880497301,+6.21668916e-1,+5.1248989652e1,+0e0,+7.002051e-3
DashMap,1,100000000,100000000,100000000,false,I64,Sum,0,0,+2.282295584e9,19.801141163,19.792677151,19.813363958,19.816280381,19.79393824,19.807433527,19.799985185,19.80046679,19.811645975,+4.6181314e-2,+1.9663874834e1,+0e0,+9.1356215e-2
FolkloreMap,1,100000000,100000000,100000000,false,I64,Sum,0,0,+3.200524608e9,7.241655635,7.24052521,7.243110794,7.243847594,7.246902344,7.24337793,7.239974677,7.238764173,7.244537039,+1.97261493e-1,+7.039746741e0,+0e0,+6.092158e-3
IcebergMap,1,100000000,100000000,100000000,false,I64,Sum,0,0,+2.559348468e9,16.01671298,16.027044475,16.022992347,16.022425505,16.025840916,16.026662693,16.022442928,16.02342935,16.0311591,+1.58943637e-1,+1.5859180485e1,+0e0,+5.307508e-3
LeapMap,1,100000000,100000000,100000000,false,I64,Sum,0,0,+1.04695078e10,20.336218043,20.332484756,20.335833241,20.336100048,20.336356217,20.332683736,20.337449964,20.330826089,20.334289063,+4.19108644e-1,+1.9904226357e1,+0e0,+1.254728e-2
AtomicPau,1,100000000,100000000,100000000,false,I64,Sum,0,0,+8.005266e8,2.141560347,2.142251995,2.1420293519999998,2.142289995,2.141811788,2.142577359,2.141656066,2.142195072,2.141392822,+4.9860117e-2,+0e0,+2.090408051e0,+1.2e-7
LockingPau,1,100000000,100000000,100000000,false,I64,Sum,0,0,+2.000529672e9,12.098967357,12.097331046,12.098415492,12.098084439,12.099212606,12.100337292,12.099540193,12.099615307,12.098137361,+2.06870245e-1,+0e0,+1.18880575e1,+2.470952e-3
ThreadLocalPau,1,100000000,100000000,100000000,false,I64,Sum,0,0,+8.0052664e8,3.045762159,3.044700545,3.048122348,3.046520088,3.044496981,3.044864145,3.047072053,3.045520513,3.044827463,+1.6e-7,+0e0,+2.971320764e0,+7.5681e-5
AtomicE2E,1,100000000,100000000,100000000,false,I64,Sum,0,0,+5.600561472e9,7.172465474,7.172089306,7.172999636,7.176325476,7.174323528,7.171811654,7.172670583,7.172422378,7.173602391,+2.47148037e-1,+6.416536985454024e0,+5.002525085020585e-1,+6.115798e-3
ThreadLocalE2E,1,100000000,100000000,100000000,false,I64,Sum,0,0,+5.600561512e9,7.178771009,7.178581285,7.17838964,7.180633547,7.175748443,7.171822071,7.178422153,7.173021163,7.184096622,+1.97792766e-1,+6.417693565234415e0,+5.08865716171741e-1,+6.217399e-3
PartitionedE2E,1,100000000,100000000,100000000,false,I64,Sum,0,0,+6.64377804e9,9.327136098,9.325322673,9.32763238,9.320760129,9.321733899,9.317031597,9.321316289,9.316551626,9.321128362,+4e-7,+2.6399159450000003e0,+6.267559344e0,+4.14202569e-1
AtomicE2E,1,100000000,100000000,100000000,false,I64,Sum,0.8,0,+5.600561472e9,6.338177154,6.330384974,6.329193918,6.337224499,6.340142976,6.337835385,6.338743635,6.328879229,6.334375578,+2.46835831e-1,+4.174644079216837e0,+1.9064214077553436e0,+6.101838e-3
ThreadLocalE2E,1,100000000,100000000,100000000,false,I64,Sum,0.8,0,+5.600561512e9,6.264019477,6.26436876,6.259677419,6.259300374,6.263281943,6.255071558,6.262961218,6.263441064,6.267091989,+1.9741016e-1,+4.179005130898186e0,+1.8585933201172715e0,+6.155958e-3
PartitionedE2E,1,100000000,100000000,100000000,false,I64,Sum,0.8,0,+4.932502008e9,8.617113057,8.606544082,8.603846405,8.607593933,8.604776215,8.604260167,8.611783702,8.60237266,8.615702029,+3.6e-7,+2.667503284e0,+5.751200519e0,+1.86706783e-1
AtomicE2E,1,100000000,100000000,100000000,false,I64,Sum,0,0.5,+5.600561472e9,5.374857789,5.376274327,5.37576788,5.375192672,5.374688386,5.375514835,5.374807066,5.375644556,5.375298522,+2.46710708e-1,+3.7920350865995682e0,+1.3283614580704468e0,+6.123519e-3
ThreadLocalE2E,1,100000000,100000000,100000000,false,I64,Sum,0,0.5,+5.600561512e9,5.141432573,5.140567952,5.14262277,5.141757509,5.142250307,5.143723477,5.14461608,5.140060132,5.140108124,+1.97309555e-1,+3.794261357428412e0,+1.1221898919087374e0,+6.1522e-3
PartitionedE2E,1,100000000,100000000,100000000,false,I64,Sum,0,0.5,+3.321889272e9,6.144512076,6.146720373,6.142970874,6.132954253,6.131373341,6.12508677,6.157260174,6.157842771,6.155762333,+3.2e-7,+2.71819819e0,+3.238140185e0,+1.88505516e-1
CuckooMap,2,1000,100000000,1000,false,I64,Sum,0,0,+4.1032e4,5.161771412,5.15758571,5.165693368,6.625362522,5.171893632,6.451069493,5.169841311,6.627572712,5.1699814570000004,+1.104e-5,+5.169969537e0,+0e0,+1.12e-6
DashMap,2,1000,100000000,1000,false,I64,Sum,0,0,+1.161828e6,4.133860954,3.992639809,4.133652784,3.9934040509999997,2.698219629,4.1701108829999995,2.698505269,4.170579003,2.6987361869999997,+7.4361e-5,+3.993237289e0,+0e0,+6.6401e-5
FolkloreMap,2,1000,100000000,1000,false,I64,Sum,0,0,+1.081176e6,0.75488157,0.755454737,0.754411484,0.754555485,0.753681234,0.754643647,0.755689859,0.754583205,0.754576925,+2.44e-6,+7.54580365e-1,+0e0,+8e-7
IcebergMap,2,1000,100000000,1000,false,I64,Sum,0,0,+1.075592e6,1.003470452,0.999354678,1.000745777,0.999271757,1.000118928,1.008126471,1.007112577,0.999371638,0.998973912,+3.48e-6,+1.000114168e0,+0e0,+1.16e-6
