workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
ThreadLocalPau,1,100000000,100000000,100000000,true,I64,Sum,0,0,+8.00526624e8,1.088503247,1.088256146,1.088401675,1.095923292,1.088744023,1.088908152,1.088797443,1.102665356,1.08955232,+4e-8,+0e0,+1.08541261e0,+1.72772e-4
AtomicE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0,+5.600561456e9,3.944726469,3.944276096,3.943514246,3.943128208,3.916346905,3.915972509,3.922548024,3.92458772,3.927337217,+3.4718e-5,+3.5115785503572963e0,+3.979480714091289e-1,+1.1836884e-2
ThreadLocalE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0,+5.600561496e9,3.7226942530000002,3.733517009,3.723891351,3.73154805,3.72281713,3.72884267,3.726815985,3.727330961,3.722136658,+3.0559e-5,+3.514023693315125e0,+1.940398592293516e-1,+1.1926336e-2
PartitionedE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0,+6.64377804e9,7.937036788,7.974170685,7.937480707,7.927051939,7.905725812,7.907391563,7.906081834,7.953762631,7.967008115,+1.8e-7,+1.948829463e0,+5.74854345e0,+2.35517915e-1
AtomicE2E,1,100000000,100000000,100000000,true,I64,Sum,0.8,0,+5.600561456e9,3.588943649,3.584501363,3.5775495250000002,3.584297364,3.5819136499999997,3.586708693,3.588165064,3.581565973,3.576912137,+3.6339e-5,+2.6255850619386623e0,+9.429874745298217e-1,+1.1641374e-2
ThreadLocalE2E,1,100000000,100000000,100000000,true,I64,Sum,0.8,0,+5.600561496e9,3.413915201,3.408112642,3.404707833,3.404752474,3.398606917,3.405873263,3.408255707,3.401099518,3.408050697,+2.9609e-5,+2.6234323953395355e0,+7.67959983029507e-1,+1.1781907e-2
PartitionedE2E,1,100000000,100000000,100000000,true,I64,Sum,0.8,0,+4.932502008e9,6.203274162,6.210305173,6.198170176,6.197786299,6.208782144,6.221937559,6.178816574,6.222636679,6.220652711,+1.6e-7,+2.052449379e0,+4.051129063e0,+1.06265534e-1
AtomicE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0.5,+5.600561456e9,3.160120556,3.160094089,3.163048207,3.16003584,3.162807962,3.158745133,3.194558622,3.204318092,3.163443851,+3.6459e-5,+2.450581972904246e0,+6.98034403582632e-1,+1.165586e-2
ThreadLocalE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0.5,+5.600561496e9,2.985007195,3.00241733,2.98727175,2.9871116559999997,2.991042725,2.990656302,2.989509484,3.017247166,2.9888092889999998,+3.0549e-5,+2.450305789745368e0,+5.253564378149572e-1,+1.1778237e-2
PartitionedE2E,1,100000000,100000000,100000000,true,I64,Sum,0,0.5,+3.321889272e9,5.245309504,5.23579391,5.220452697,5.226272461,5.230620715,5.239000623,5.245925216,5.240640536,5.248528735,+3e-7,+2.483714134e0,+2.6448056319999997e0,+1.0757415e-1
